sentiment,id,date,query,user,text
0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,scotthamilton,is upset that he can't update his facebook by uploading pictures after it for a while.
0,1467810672,Mon Apr 06 22:19:49 PDT 2009,NO_QUERY,mattycus, I dived again for many times. The salt water really sucks!
0,1467810917,Mon Apr 06 22:19:53 PDT 2009,NO_QUERY,ElleCT,my whole body feels itchy and like its on fire
0,1467811184,Mon Apr 06 22:20:00 PDT 2009,NO_QUERY,Karoli, no it's not behaving at all. i'm angry. why am i here? because i can't be all over the place like you.
0,1467811193,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,rusty44, not the whole crew
4,1467811356,Mon Apr 06 22:20:15 PDT 2009,NO_QUERY,mybirch,Need a hug
4,1467811592,Mon Apr 06 22:20:19 PDT 2009,NO_QUERY,T_Diddy_Bizzle, hey  long time no see! Nice to talk to you via Twitter.
4,1467811594,Mon Apr 06 22:20:20 PDT 2009,NO_QUERY,stacyjane1, yes that sounds good.  do you have any suggestions?
4,1467811779,Mon Apr 06 22:20:25 PDT 2009,NO_QUERY,KyleMeinert,@twitter aaaaaaand i'm back.
4,1467812020,Mon Apr 06 22:20:31 PDT 2009,NO_QUERY,zapat_a,woohoo! it is working!
4,1467812094,Mon Apr 06 22:20:32 PDT 2009,NO_QUERY,Zoinkies,@gipaw the  &lt;3's mean i am happy for you!
2,1467812172,Mon Apr 06 22:20:36 PDT 2009,NO_QUERY,xXAimeeV,why?
4,1467812332,Mon Apr 06 22:20:41 PDT 2009,NO_QUERY,pardonlauren,well done!
2,1467812361,Mon Apr 06 22:20:44 PDT 2009,NO_QUERY,jadedjenn,awww yeah!  what did you do?
2,1467812446,Mon Apr 06 22:20:48 PDT 2009,NO_QUERY,Clozzzza,thats so sad.. i go to school tomorrow
4,1467812723,Mon Apr 06 22:21:01 PDT 2009,NO_QUERY,erinxgoode,woohoo!  made her first $20 today!
4,1467812784,Mon Apr 06 22:21:07 PDT 2009,NO_QUERY,ijessica,@DavidAllenGold glad you got it figured out!
2,1467812800,Mon Apr 06 22:21:08 PDT 2009,NO_QUERY,ersaralina,Poor thing..hope you get better soon.
4,1467812917,Mon Apr 06 22:21:15 PDT 2009,NO_QUERY,DaniiCouto,i'm so jealousssss
4,1467813013,Mon Apr 06 22:21:19 PDT 2009,NO_QUERY,jammrbread,yay!!!  happy for you @mcraddictalent
4,1467813172,Mon Apr 06 22:21:26 PDT 2009,NO_QUERY,TheRealAli,wow ... u are absolutely right!!!!
0,1467813200,Mon Apr 06 22:21:28 PDT 2009,NO_QUERY,scarlet_sage,Awww...that is kinda sad.
4,1467813291,Mon Apr 06 22:21:33 PDT 2009,NO_QUERY,jason_brooks,i'm the opposite of depressed.
4,1467813350,Mon Apr 06 22:21:36 PDT 2009,NO_QUERY,xkilljoyx,sounds like fun... i dont have any
0,1467813560,Mon Apr 06 22:21:44 PDT 2009,NO_QUERY,jillgaffney,http://myloc.me/275B  -  i'm sorry
4,1467813599,Mon Apr 06 22:21:48 PDT 2009,NO_QUERY,mimismo,woooooohoooooooo
0,1467813692,Mon Apr 06 22:21:52 PDT 2009,NO_QUERY,jessicachaos,i feel i am failng as a mother.
0,1467813705,Mon Apr 06 22:21:56 PDT 2009,NO_QUERY,jimmie_jinx,Such a shame!
0,1467813733,Mon Apr 06 22:21:57 PDT 2009,NO_QUERY,eileenwagner,feels like i can't breathe.
4,1467813844,Mon Apr 06 22:22:02 PDT 2009,NO_QUERY,itsakyra,that was so lovely!
0,1467813847,Mon Apr 06 22:22:02 PDT 2009,NO_QUERY,mandayyy,kinda sad that only 1 guy commented.
4,1467813871,Mon Apr 06 22:22:05 PDT 2009,NO_QUERY,TaraLouvre,i knowwwww. i think i might go hang out with ellen the day after  school lets out
2,1467813918,Mon Apr 06 22:22:08 PDT 2009,NO_QUERY,jason_brooks,ok i'm back and i'm ready for more!  i hope i didn't miss anything.
